dsmsgkey,dsenus,dsptbr,dseses
rBuilder.i18nLbContainer,Container:,Container:,Contenedor:
rBuilder.i18nLbContainerDelivery,Container Delivery,Entrega de Container,Entrega de contenedor
rBuilder.i18nLbContainerWithdrawal,Container Withdrawal,Retirada de Container,Retiro de contenedor
rBuilder.i18nLbContent,Content,Conteúdo,Contenido
email.all.termsAndConditions,Terms and Conditions,Termos de Uso,Términos y Condiciones
rBuilder.i18nLbContract,Contract:,Contrato:,Contrato:
rBuilder.i18nLbCoordinator,Coordinator,Responsável,Coordinador
rBuilder.i18nLbCopies,Copies,Cópias,Copias
rBuilder.i18nLbCountry,Country:,País:,País:
rBuilder.i18nLbCountryAgentPay,Country:,País:,País:
rBuilder.i18nLbCountryCnee,Country:,País:,País:
rBuilder.i18nLbCountryCustomer,Country:,País:,País:
rBuilder.i18nLbCountryDest,Country:,País:,País de destino:
rBuilder.i18nLbCountryDestination,Country:,País:,País de destino:
rBuilder.i18nLbCountryNotify,Country:,País:,País:
rBuilder.i18nLbCountryOrig,Country:,País:,País de origen:
rBuilder.i18nLbCountryShipper,Country:,País:,País:
rBuilder.i18nLbCountrySubAgent,Country:,País:,País:
rBuilder.i18nLbCountryVia,Country:,País:,País:
rBuilder.i18nLbCRTCTe,CRT/CT-e:,CRT/CT-e:,CRT/CT-e:
rBuilder.i18nLbCubicWeight,Cubic Weight:,Peso Cubado:,Peso Cúbico:
rBuilder.i18nLbCurrency,Currency,Moeda,Moneda
rBuilder.i18nLbCurrent,CURRENT,ATUAL,ACTUAL
rBuilder.i18nLbCustomer,Customer:,Cliente:,Cliente:
rBuilder.i18nLbCustomerContact,Contact:,Contato:,Contacto:
rBuilder.i18nLbCustomerContactPhone,Phone:,Telefone:,Teléfono:
rBuilder.i18nLbCustomerReference,Customer Ref:,Ref. Cliente:,Ref. Cliente:
rBuilder.i18nLbCustomerShort,Customer:,Cliente:,Cliente:
rBuilder.i18nLbCustomerWithout,Customer,Cliente,Cliente sin especificar
rBuilder.i18nLbDetention,DETENTION,DETENTION,DETENCIÓN
rBuilder.i18nLbDriver,Driver:,Motorista:,Conductor:
rBuilder.i18nLbDriverLicense,Driver License:,CNH:,Licencia de conducir:
rBuilder.i18nLbdtDelivery,Delivery:,Entrega:,Entrega:
rBuilder.i18nLbDtEmission,Emission Date:,Data de Emissão:,Fecha de emisión:
rBuilder.i18nLbDtExpire,Expires:,Vencimento:,Caduca:
rBuilder.i18nLbDtPayment,Payment,Pagamento,Pago
rBuilder.i18nLbDV,Division:,Natureza:,División:
rBuilder.i18nLbEmail,E-mail:,E-mail:,Correo electrónico:
rBuilder.i18nLbEmailCnee,Email:,E-mail:,Correo electrónico:
rBuilder.i18nLbEmailCustomer,Email:,E-mail:,Correo electrónico:
rBuilder.i18nLbEmailShipper,Email:,E-mail:,Correo electrónico:
rBuilder.i18nLbETA,ETA:,ETA:,Fecha estimada de llegada:
rBuilder.i18nLbETD,ETD:,ETD:,ETD:
rBuilder.i18nLbExchange,Exchange,Câmbio,Intercambio
rBuilder.i18nLbExpire,Expires,Vencimento,Caducidad
rBuilder.i18nLbFinalDate,Final date:,Data final:,Fecha final:
rBuilder.i18nLbFinancial,Financial,Financeiro,Financiero
rBuilder.i18nLbFirstFlight,1st Flight:,1º Voo:,Primer vuelo:
rBuilder.i18nLbFlag,Flag,Bandeira,Bandera
Button.add,Add,Adicionar,Agregar
rBuilder.i18nLbFreight,Freight,Frete,Flete
rBuilder.i18nLbFreightNetRates,Freight - Net Rates,Frete - Net Rates,Flete - Tarifas netas
rBuilder.i18nLbFreightSellRates,Freight - Selling Rates,Frete - Selling Rates,Tarifas de venta de flete
rBuilder.i18nLbFreightType,Freight Type:,Tipo do Frete:,Tipo de carga:
rBuilder.i18nLbFrequency,Frequency:,Frequencia:,Frecuencia:
rBuilder.i18nLbFrom,From:,De:,De:
rBuilder.i18nLbGeneralCondition,General Condition,Condição Geral,Condición General
rBuilder.i18nLbGeneralTotal,General Total,Total Geral,Total General
rBuilder.i18nLbGoods,Goods,Mercadorias,Mercancías
rBuilder.i18nLbGrossWeight,Gross Weight:,Peso Bruto:,Peso Bruto:
rBuilder.i18nLbGroundDomesticTitle,DOMESTIC #:,CARRETO Nº:,CARRETO Nº:
rBuilder.i18nLbHandoverTitle,HANDOVER #:,PROPOSTA Nº:,ENTREGA #:
rBuilder.i18nLbHAWB,HAWB:,HAWB:,HAWB:
rBuilder.i18nLbSalesman1,Sales1:,Vendedor1:,Vendedor1:
rBuilder.i18nLbInvoiceTotal,Total Invoice:,Total da Fatura:,Total de la factura:
rBuilder.i18nLbIssuedBy,Issued by SmartComex Web Edition - http://www.smartcomex.io/,Emitido por SmartComex Web Edition - http://www.smartcomex.io/,Emitido por SmartComex Web Edition - http://www.smartcomex.io/
rBuilder.i18nLbLastAirline,Last Airline:,Ultima Cia Aérea:,Última aerolínea:
rBuilder.i18nLbLastVessel,Mooring Vessel:,Navio Atrac:,Navío de amarre:
rBuilder.i18nLbLastVoyage,Voyage:,Viagem:,Viaje:
rBuilder.i18nLblCustomer,Customer,Cliente,Cliente
rBuilder.i18nLbLiabilityTitle,LIABILITY #:,RESPONSABILIDADE Nº:,RESPONSABILIDAD #:
rBuilder.i18nLbLicensePlate,License Plate:,Placa:,Placa:
rBuilder.i18nLbListOfVehicles,List Of Vehicles,Lista de Veículos,Lista de Vehículos
rBuilder.i18nLbListOfVolumes,List Of Volumes,Lista de Volumes,Lista de volúmenes
rBuilder.i18nLbLocal,Local,Local,Local
rBuilder.i18nLbLocalColeta,Local Collect,Local de coleta,Recolección local
rBuilder.i18nLbLocalDelivery,Local Delivery,Local de Entrega,Entrega Local
rBuilder.i18nLbLocalDocDelivery,Local Document Delivery,Local de Entrega de Documentos,Entrega Local de Documentos
rBuilder.i18nLblRef,Ref. Code,Ref. Cod.,Cód. Ref.
rBuilder.i18nLblRefHouse,Ref. Code H,Ref. Cod H,Cód. Ref. H
rBuilder.i18nLblRefMaster,Ref. Code M,Ref. Cod M,Cód. Ref. M
Button.edit,Edit,Editar,Editar
rBuilder.i18nLbM3,Cubic:,Peso Cubado:,Volumen cúbico:
rBuilder.i18nLbMajor100,+100,+100,+100
rBuilder.i18nLbMajor300,+300,+300,+300
rBuilder.i18nLbMajor45,+45,+45,+45
rBuilder.i18nLbManager,Manager / Supervisor,Gerente / Supervisor,Gerente / Supervisor
rBuilder.i18nLbManifest,Manifest:,Manifesto:,Manifiesto:
rBuilder.i18nLbManifestTitle,MANIFEST #:,MANIFESTO Nº:,MANIFIESTO #:
rBuilder.i18nLbManufacturer,Manufacturer,Fabricante,Fabricante
rBuilder.i18nLbMaster,Master,Master,Maestro
rBuilder.i18nLbMAWB,MAWB:,MAWB:,MAWB:
rBuilder.i18nLbMax,Max,Max,Máximo
rBuilder.i18nLbMBLMAWB,MBL / MAWB,MBL / MAWB,MBL / MAWB
rBuilder.i18nLbMBLWithout,MBL,MBL,MBL
rBuilder.i18nLbMin,Min,Min,Mínimo
rBuilder.i18nLbOver90,OVER 90,OVER 90,MÁS DE 90
rBuilder.i18nLbParcel,Parcel,Parcela,Paquete
rBuilder.i18nLbPeriod,Period,Periodo,Periodo
rBuilder.i18nLbPhone,Phone:,Fone:,Teléfono:
rBuilder.i18nLbPhoneAgentPay,Phone:,Fone:,Teléfono:
rBuilder.i18nLbPhoneCnee,Phone:,Fone:,Teléfono:
rBuilder.i18nLbPhoneCustomer,Phone:,Fone:,Teléfono:
rBuilder.i18nLbPhoneNotify,Phone:,Fone:,Teléfono:
rBuilder.i18nLbPhoneShipper,Phone:,Fone:,Teléfono:
rBuilder.i18nLbPhoneSubAgent,Phone:,Fone:,Teléfono:
rBuilder.i18nLbPlaceOfDelivery,Place Delivery:,Destino Final:,Destino de entrega:
rBuilder.i18nLbPortDestination,Destination:,Destino:,Destino:
rBuilder.i18nLbPortOrigin,Origin:,Origem:,Origen:
rBuilder.i18nLbPortVia,Via:,Via:,Via:
ReportPdfOptions.dropdown.print.collectOrder,Collect Order,Ordem de Coleta,Orden de Recogida
rBuilder.i18nLbPreAlertConditions,Pre Alert Conditions,Condições de Pré Alert,Condiciones de Prealerta
rBuilder.i18nLbProcess,Process:,Processo:,Proceso:
rBuilder.i18nLbProcessTitle,PROCESS #:,PROCESSO Nº:,PROCESO #:
rBuilder.i18nLbProcessWithout,Process,Processo,Proceso sin especificar.
rBuilder.i18nLbProduct,Product:,Produto:,Producto:
rBuilder.i18nLbProfitAgent,Profit Agent:,Profit Agent:,Agente de beneficio:
rBuilder.i18nLbQtd,Qt,Qtde,Cant.
rBuilder.i18nLbQtProcess,Process quantity:,Quantidade de processos:,Cantidad de procesos:
rBuilder.i18nLbQuotation,QUOTATION,COTAÇÃO,COTIZACIÓN
rBuilder.i18nLbQuotationReference,Quotation:,Cotação:,Cotización:
rBuilder.i18nLbReference,Reference:,Referencia:,Referencia:
rBuilder.i18nLbRefHosue,Ref H.:,Ref H.:,Ref H.:
rBuilder.i18nLbRefMaster,Ref M.:,Ref M.:,Ref M.:
rBuilder.i18nLbRequester,Requester,Solicitante,Solicitante
rBuilder.i18nLbRoadCarrier,Road Carrier:,Transportador:,Transportista por carretera:
rBuilder.i18nLbRoadCarrierAddress,Address:,Endereço:,Dirección:
rBuilder.i18nLbRoadCarrierCity,City:,Cidade:,Ciudad:
rBuilder.i18nLbRoadCarrierCNPJ,TAX ID:,CNPJ:,CIF:
rBuilder.i18nLbRoadCarrierCountry,Country:,País:,País:
rBuilder.i18nLbRoadCarrierPhone,Phone:,Fone:,Teléfono:
rBuilder.i18nLbSalesman,Sales:,Vendedor:,Vendedor:
rBuilder.i18nLbNbFreeTime,FT,FT,FT
rBuilder.i18nLbSecondFlight,2nd Flight:,2º Voo:,2º Vuelo:
rBuilder.i18nLbSell,Sell,Venda,Vender
rBuilder.i18nLbSendDoc,Sub Agent,Representante,Representante
rBuilder.i18nLbServiceType,Service Type,Tipo de Serviço,Tipo de servicio
rBuilder.i18nLbShip,Vessel,Navio,Buque
rBuilder.i18nLbShipper,Shipper,Shipper,Remitente
rBuilder.i18nLbShippingInstructions,Shipping Instructions,Instruções de Embarque,Instrucciones de envío
rBuilder.i18nLbSignature,Signature of Partner / Agree,Assinatura do Parceiro / De acordo,Firma del socio / Aceptar
rBuilder.i18nLbState,State:,Estado:,Estado:
rBuilder.i18nLbSubTotal,Subtotal,Subtotal,Subtotal
rBuilder.i18nLbSupplier,Supplier,Fornecedor,Proveedor
rBuilder.i18nLbTelex,Telex Release,Telex Release,Liberación Telex
rBuilder.i18nLbTo,To:,Para:,Para:
rBuilder.i18nLbTotal,Total,Total,Total
rBuilder.i18nLbTotalCharge,Total Value,Total,Valor total
rBuilder.i18nLbTotalReceipt,RECEIPT TOTAL VALUE,VALOR TOTAL DO RECIBO,VALOR TOTAL DEL RECIBO
rBuilder.i18nLbTotals,Totals,Totals,Totales
rBuilder.i18nLbTotalTON,Total TON,Total TON,Total TON
rBuilder.i18nLbTpCalculation,Calculation,Tipo de Cálculo,Cálculo
rBuilder.i18nLbTrailerLicensePlate,Trailer Lic. Plate:,Placa Trailer:,Placa del remolque:
rBuilder.i18nLbTranshipment,Transhipment,Transbordo,Transbordo
rBuilder.i18nLbTransitTime,T.T:,T.T:,T.T:
rBuilder.i18nLbTypeOfCntr,Equipment,Equipamento,Equipo
rBuilder.i18nLbUnitaryTON,Unit TON,Unit TON,Unidad TONELADA
rBuilder.i18nLbUnitaryValue,Unitary Value,Valor Unitário,Valor Unitario
rBuilder.i18nLbUnitCharge,Unit Value,Unitário,Valor Unitario
rBuilder.i18nLbValor,Value,Valor,Valor
rBuilder.i18nLbValue,Value,Valor,Valor
rBuilder.i18nLbVatos,Valid at Time of Shipping,Tabela Vigente,Válido al momento del envío
rBuilder.i18nLbVessel,Vessel:,Navio:,Barco:
rBuilder.i18nLbVesselWithout,Vessel,Navio,Barco
rBuilder.i18nLbVlGross,Gross Weight,Peso Bruto,Peso Bruto
rBuilder.i18nLbVlM3,Cubic Weight,Peso Cubado,Peso Volumétrico
rBuilder.i18nLbVlWeight,Net Weight,Peso Líquido,Peso neto
rBuilder.i18nLbVolume,Volume,Volume,Volumen
rBuilder.i18nLbVolumes,Volumes,Volumes,Volúmenes
rBuilder.i18nLbVolumeTotal,Subtotal,Subtotal,Subtotal
rBuilder.i18nLbVoyage,Voyage:,Viagem:,Viaje:
rBuilder.i18nLbWarehouse,Warehouse,Armazém,Almacén
rBuilder.i18nLbWeight,Net Weight:,Peso Real:,Peso neto:
rBuilder.i18nLbZipCode,Zip:,CEP:,Código postal:
rBuilder.i18nPageSetOf,of,de,de
rBuilder.i18nPageSetPage,Page,Página,Página
rBuilder.i18nQuotLbOfficeFax,Fax,Fax,Fax
rBuilder.i18nQuotLbOfficePhone,Phone,Fone,Teléfono
rBuilder.i18nQuotLbProposalTitle,FREIGHT QUOTATION #:,COTAÇÃO DE FRETE Nº:,COTIZACIÓN DE FLETE #
rBuilder.i18nValue.About,About,Aprox.,Acerca de
rBuilder.i18nValue.AIR,Air,Aéreo,Aire
rBuilder.i18nValue.April,April,Abril,Abril
rBuilder.i18nValue.August,August,Agosto,Agosto
rBuilder.i18nValue.CC,COLLECT,COLLECT,RECOGER
rBuilder.i18nValue.CNTR,Container,Container,Contenedor
rBuilder.i18nValue.Days,Day(s),Dia(s),Día(s)
rBuilder.i18nValue.December,December,Dezembro,Diciembre
rBuilder.i18nValue.DESTINATION,Destination,Destino,Destino
rBuilder.i18nValue.EXPORT,Export,Exportação,Exportación
rBuilder.i18nValue.February,February,Fevereiro,Febrero
rBuilder.i18nValue.FLAT,Flat Rate,Taxa Fixa,Tarifa Plana
rBuilder.i18nValue.FREIGHT,Freight,Frete,Flete
rBuilder.i18nValue.IMPORT,Import,Importação,Importación
rBuilder.i18nValue.January,January,Janeiro,Enero
rBuilder.i18nValue.July,July,Julho,Julio
rBuilder.i18nValue.June,June,Junho,Junio
rBuilder.i18nValue.March,March,Março,Marzo
rBuilder.i18nValue.November,November,Novembro,Noviembre
rBuilder.i18nValue.October,October,Outubro,Octubre
rBuilder.i18nValue.ORIGIN,Origin,Origem,Origen
rBuilder.i18nValue.OTHERCHARGES,Other Charges,Outras Taxas,Cargos Adicionales
rBuilder.i18nValue.PCT,Percentage,Porcentagem,Porcentaje
rBuilder.i18nValue.PP,PREPAID,PREPAID,PREPAGO
rBuilder.i18nValue.SEA,Sea,Marítimo,Marítimo
rBuilder.i18nValue.September,September,Setembro,Septiembre
rBuilder.i18nValue.TEU,TEU,TEU,TEU
rBuilder.i18nValue.TRUCK,Truck,Caminhão/Carreta,Camión
RecordStatusTypes.ACTIVE,Active,Ativo,Activo
RecordStatusTypes.INACTIVE,Inactive,Inativo,Inactivo
RegisterType.null,-,-,-
RegisterType.ORGANIZATION,Organization,Organização,Organización
RegisterType.SYSTEM,System,Sistema,Sistema
RegisterType.Title,Register Owner,Proprietário,Propietario del registro
ReInvite.Message,Please confirm sending the invitation.,Por favor confirme o envio do convite.,Por favor confirme el envío de la invitación.
ReportConfig.arrivalConfirm.title,ARRIVAL CONFIRMATION,CONFIRMAÇÃO DE CHEGADA,CONFIRMACIÓN DE LLEGADA
ReportConfig.booking.title,BOOKING,RESERVA DE PRAÇA,RESERVA DE PLAZA
ReportConfig.cargoManifest.title,CARGO MANIFEST,MANIFESTO DE CARGA,MANIFIESTO DE CARGA
ReportConfig.collectOrder.title,Collect Order,Ordem de Coleta,Recoger Pedido
ReportConfig.commercialInvoice.title,Commercial Invoice,Commercial Invoice,Factura Comercial
ReportConfig.commissions.title,Shipment Determination Report,Relatório de Apuração de Embarques,Informe de Determinación de Envíos
ReportConfig.cover.title,PROCESS COVER,CAPA DO PROCESSO,PORTADA DEL PROCESO
ReportConfig.followUp.title,FOLLOWUP,FOLLOWUP,SEGUIMIENTO
ReportConfig.invoice.title,INVOICE,FATURA,FACTURA
ReportConfig.ISF.title,"IMPORTER SECURITY FILLING (ISF) FACT SHEET
","IMPORTER SECURITY FILLING (ISF) FACT SHEET
",HOJA INFORMATIVA DE LLENADO DE SEGURIDAD DEL IMPORTADOR (ISF)
ReportConfig.mooConfirm.title,MOORING CONFIRMATION,CONFIRMAÇÃO DE ATRACAÇÃO,CONFIRMACIÓN DE AMARRE
ReportConfig.mooNotify.title,MOORRING NOTIFICATION,AVISO DE ATRACAÇÃO,NOTIFICACIÓN DE AMARRE
ReportConfig.packingList.title,Packing List,Packing List,Lista de embalaje
Locale.es_ES,Spanish,Espanhol,Español
Continent.AS,Asia,Ásia,Asia
Caption.nmAirport,Airport,Aeroporto,Aeropuerto
Label.at,at,em,"en: en
es: en"
Label.cost,Cost,Custo,Costo
ActionGroupTypes.COMPANY,Company,Empresa,Empresa
ActionGroupTypes.FINANCIAL,Financial,Financeiro,Financiero
ActionGroupTypes.OFFICE,Office,Escritório,Oficina
ActionGroupTypes.REGISTER,Register,Cadastros,Registrar
Action.name.ADDAIRLINE,Add Airline,Adicionar CIA Aérea,Agregar aerolínea
all.home,Home,Inicio,Inicio
Action.name.ADDEXCHANGEPROTECTION,Add Exchange Protection,Adicionar Proteção de Câmbio,Agregar protección de cambio
Action.name.DELETEEXCHANGEPROTECTION,Delete Exchange Protection,Remover Proteção de Câmbio,Eliminar Protección de Cambio
Action.name.SETEXCHANGEPROTECTION,Set Exchange Protection,Editar Proteção de Câmbio,Establecer Protección de Cambio
EditProcessCneeContact.label.obCneeContact,Contact in the Process,Contato no Processo,Contacto en el proceso
EditProcessCommodities.label.commoditiesEditing,Description of Goods Editing,Edição de Description of Goods,Edición de Descripción de Mercancías
EditProcessCountryOrig.label.countryOrigEditing,Country Origin Editing,Edição de País de Origem,Edición de País de Origen
EditProcessCountryOrig.label.initialPlace,Place of Receipt to Print,Place of Receipt para Impressão,Lugar de recogida para imprimir
EditProcessCountryOrig.label.initialPlaceEditing,Initial Place Editing,Edição de Local Inicial,Edición de lugar inicial
EditProcessCountryOrig.label.updateInitialPlace,Update Place of Receipt,Atualizar Place of Receipt,Actualizar lugar de recogida
EditProcessDest.label.alias,POD to Print,POD para Impressão,POD para imprimir
EditProcessFinalDestination.label.finalDestination,Place of Delivery to Print,Place of Delivery para Impressão,Lugar de entrega para imprimir
EditProcessIataCode.label.iataCodeEditing,Editting IATA Code,Edição de Código IATA,Edición de código IATA
EditProcessOrigin.label.aliasEditing,Origin Editing,Edição da Origem,Edición de Origen
EditProcessOrigin.label.updateOrigin,Update POL,Atualizar POL,Actualizar POL
SideMenuHeader.label.changeOffice,Change office,Trocar escritório,Cambiar oficina
EditProcessShipper.placeholder.shipper,Type the shipper name and address,Digite o nome e o endereço do shipper,Escriba el nombre y la dirección del remitente.
EditProcessVesselVoyage.label.updateVessel,Update Vessel and Voyage,Atualizar Navio e Viagem,Actualizar Buque y Viaje
EditQuotation.button.quotationInfo,Quotation Info,Informações da Cotação,Información de Cotización
email.all.bestRegards,Best Regards,Atenciosamente,Atentamente
email.customerinvite.message,You have been invited by {{.NameCompany}} to access our web tracking.,"Você foi convidado pela {{.NameCompany}}, para acessar nosso web tracking.",Ha sido invitado por {{.NameCompany}} para acceder a nuestro seguimiento web.
email.followup.lbCarrier,Carrier,Carrier,Transportista
email.followup.lbETA,ETA,ETA,ETA
ReportPdfOptions.dropdown.print.comercialInvoice,Commercial Invoice,Commercial Invoice,Factura comercial
ReportPdfOptions.dropdown.print.commission,Commission,Comissão,Comisión
ReportPdfOptions.dropdown.print.courierLabel,Courier Labels,Etiquetas Courier,Etiquetas de mensajería
ReportPdfOptions.dropdown.print.cover,Process Cover,Capa do Processo,Portada del Proceso
ReportPdfOptions.dropdown.print.digitalHouseBL,BL (Full),BL (Completo),BL (Completo)
ReportPdfOptions.dropdown.printENUS,Print in English,Imprimir em Inglês,Imprimir en inglés
ReportPdfOptions.dropdown.print.followUp,Follow Up,Follow Up,Seguimiento
ReportPdfOptions.dropdown.print.handover,Handover,Handover,Entrega
ReportPdfOptions.dropdown.print.houseBL,BL (Body),BL (Apenas corpo),BL (Cuerpo)
ReportPdfOptions.dropdown.print.invoice,Invoice,Fatura,Factura
ReportPdfOptions.dropdown.print.ISF,ISF,ISF,ISF
ReportPdfOptions.dropdown.print.mooConfirm,Mooring Confirmation,Confirmação da Atracação,Confirmación de amarre
ReportPdfOptions.dropdown.print.mooNotify,Mooring Notification,Aviso de Atracação,Aviso de Atraque
ReportPdfOptions.dropdown.print.packingList,Packing List,Packing List,Lista de embalaje
ReportPdfOptions.dropdown.print.peb,Refrigeration PEB,Refrigeração PEB,PEB de refrigeración
ReportPdfOptions.dropdown.print.prealert,Pre Alert,Pre Alert,Prealerta
ReportPdfOptions.dropdown.print.proformaInvoice,Proforma Invoice,Proforma Invoice,Factura proforma
ReportPdfOptions.dropdown.print.proposal,Proposal,Cotação,Cotización
ReportPdfOptions.dropdown.printPTBR,Print in Portuguese,Impimir em Português,Imprimir en portugués
ReportPdfOptions.dropdown.print.receipt,Receipt,Recibo,Recibo
ReportPdfOptions.dropdown.print.shippingConfirm,Shipping Confirm,Confirmação de Embarque,Confirmación de Envío
ReportPdfOptions.dropdown.print.shippingInstruction,Shipping Instruction,Shipping Instruction,Instrucciones de envío
ReportPdfOptions.dropdown.print.shippingInstruction_master,Shipping Instructions,Shipping Instructions,Instrucciones de envío
ReportPdfOptions.dropdown.print.shippingProgram,Shipping Program,Programação de Embarque,Programa de envío
ReportPdfOptions.dropdown.print.statement,Statement,Statement,Declaración
ReportPdfOptions.dropdown.print.tc4,Letter TC4,Carta TC4,Carta TC4
ReportPdfOptions.dropdown.print.tc7,Letter TC7,Carta TC7,Carta TC7
ReportPdfOptions.dropdown.print.volumeLabel,Volume Labels (Colacril CA4x89-Pimaco 6288),Etiqueta Volumes (Colacril CA4x89-Pimaco 6288),Etiquetas de Volumen (Colacril CA4x89-Pimaco 6288)
ResetPasswordCmp.label.confirmPassword,Confirm Password,Confirmar senha,Confirmar contraseña
ResetPasswordCmp.placeholder.confirmPassword,Confirm password,Confirme a senha,Confirmar contraseña
ResetPasswordCmp.placeholder.password,Type your password,Digite sua senha,Escriba su contraseña
RoleActionsGroup.description.COMPANY,Permissions related to company-level registrations.,Permissões relacionadas aos cadastros no nível da empresa.,Permisos relacionados con registros a nivel de empresa.
RoleActionsGroup.description.COURIER,Permissions related to Courier,Permissões relacionadas à Courier,Permisos relacionados con Courier
RoleActionsGroup.description.DEMURRAGE,Permissions related to Demurrage.,Permissões relacionada a Demurrage.,Permisos relacionados con la demora en el pago de la carga.
RoleActionsGroup.description.FINANCIAL,Permissions related to the financial sector.,Permissões relacionadas ao setor financeiro.,Permisos relacionados con el sector financiero.
RoleActionsGroup.description.FOX_CUSTOMS,Permissions related to Customizations,Permissões relacionadas à Customizações,Permisos relacionados con personalizaciones.
RoleActionsGroup.description.INVOICE,"Permissions related to invoices, like add, edit and view.","Permissões relacionadas a faturas, como adicionar, editar e visualizar.","Permisos relacionados con facturas, como agregar, editar y ver."
RoleActionsGroup.description.LOGIN,Permissions of authentication.,Permissões de autenticação.,Permisos de autenticación.
RoleActionsGroup.description.OFFICE,Permissions related to office-level registrations.,Permissões relacionadas aos cadastros no nível do escritório.,Permisos relacionados con registros a nivel de oficina.
RoleActionsGroup.description.PAYMENT,Permissions related to payments.,Permissões relacionada a pagamentos.,Permisos relacionados con pagos.
RoleActionsGroup.description.PRICING_QUOTATION,"General quotation and pricing permissions, like adding charges, adding volumes, and so on.","Permissões gerais de cotações e pricing, como adicionar taxas, adicionar volumes e etc.","Permisos generales de cotización y precios, como agregar cargos, agregar volúmenes, y así sucesivamente."
RoleActionsGroup.description.PROCESS,"General process permissions, like adding charges, adding volumes, and so on.","Permissões gerais de processos, como adicionar taxas, adicionar volumes e etc.","Permisos generales de proceso, como agregar cargos, agregar volúmenes, y así sucesivamente."
RoleActionsGroup.description.PROCESS_AIR,Permissions related to Process Air,Permissões relacionadas ao Processo Aéreo,Permisos relacionados con el Proceso Aéreo
RoleActionsGroup.description.PROCESS_GROUND,Permissions related to Process Ground,Permissões relacionadas ao Processo Rodoviário,Permisos relacionados con el Proceso Terrestre
RoleActionsGroup.description.PROCESS_SEA,Permissions related to Process Sea,Permissões relacionadas ao Processo Marítimo,Permisos relacionados con el Proceso Marítimo
RoleActionsGroup.description.REGISTER,"Permissions related to generic registers like vessels registration, country registration and etc.","Permissões relacionadas a cadastros genéricos como cadastro de navios, cadastros de países e etc.","Permisos relacionados con registros genéricos como registro de buques, registro de países, etc."
RoleActionsGroup.description.REPORT,Permissions related to Reports,Permissões relacionadas aos Relatórios,Permisos relacionados con informes
RoleActionsGroup.description.SEND_CUSTOMS,Permissions related to Customizations,Permissões relacionadas à Customizações,Permisos relacionados con las personalizaciones.
RoleActionsGroup.description.SYSTEM_CONFIGURATION,Variables that controls how the system will work,Variáveis que controlam como o sistema deve trabalhar,Variables que controlan cómo funcionará el sistema.
RoleActionsGroup.description.TRADING,Permissions to access Trading,Permissões de acesso a Trading,Permisos para acceder a Trading
RoleActionsGroup.description.USERS,Permissions related to users privileges.,Permissões relacionadas aos privilégios dos usuários.,Permisos relacionados con los privilegios de los usuarios.
RoleActionsGroup.description.WEBTRACKING,Permissions to access Web Tracking,Permissões de acesso ao Web Tracking,Permisos para acceder al seguimiento web.
RoleActionsGroup.label.showDetails,Show Details,Mostrar Detalhes,Mostrar detalles
RoleActionsGroup.name.COMPANY,Company,Empresa,Empresa
RoleActionsGroup.name.COURIER,Courier,Courier,Courier
RoleActionsGroup.name.DEMURRAGE,Demurrage,Demurrage,Demora
RoleActionsGroup.name.FINANCIAL,Billing,Cobrança,Facturación
RoleActionsGroup.name.FOX_CUSTOMS,Customizations - FOX Brasil,Customizações - FOX Brasil,Customizaciones - FOX Brasil
RoleActionsGroup.name.INVOICE,Invoice,Invoice,Factura
RoleActionsGroup.name.LOGIN,Authentication,Autenticação,Autenticación de inicio de sesión
RoleActionsGroup.name.OFFICE,Office,Escritório,Oficina
RoleActionsGroup.name.PAYMENT,Payment,Pagamento,Pago
RoleActionsGroup.name.PRICING_QUOTATION,Quotation,Cotação,Cotización
RoleActionsGroup.name.PROCESS,Process,Processo,Proceso
RoleActionsGroup.name.PROCESS_AIR,Process Air,Processo Aéreo,Proceso Aéreo
RoleActionsGroup.name.PROCESS_GROUND,Process Ground,Processo Rodoviários,Proceso Terrestre
RoleActionsGroup.name.PROCESS_SEA,Process Sea,Processo Marítimo,Proceso Marítimo
RoleActionsGroup.name.REGISTER,Register,Cadastro,Registro
RoleActionsGroup.name.REPORT,Reports,Relatório,Informes
RoleActionsGroup.name.SEND_CUSTOMS,Customizations - SendCargo,Customizações _SendCargo,Customizaciones - EnviarCarga
RoleActionsGroup.name.SYSTEM_CONFIGURATION,System Configuration,Configuração do Sistema,Configuración del sistema
RoleActionsGroup.name.TRADING,Trading,Trading,Comercio
RoleActionsGroup.name.USERS,Users and Profiles,Usuários e Perfis,Usuarios y Perfiles
RoleActionsGroup.name.WEBTRACKING,Web Tracking,Web Tracking,Seguimiento web
RoleCheckboxLists.itemLabel,Roles,Privilégios,Roles
RoleForm.label.filter,Search by Tags,Pesquisar por Tags,Buscar por etiquetas
RoleForm.label.idHierarchy,Hierarchy,Hierarquia,Jerarquía
RoleForm.label.import,Profile Import,Importar Perfil,Importar Perfil
RoleForm.placeholder.dsRole,Type the profile name,Digite o nome do perfil,Escriba el nombre del perfil
RoleForm.placeholder.filter,Search..,Pesquisar...,Buscar...
RoleForm.placeholder.import,Select Profile,Selecione o Perfil,Seleccionar perfil
RoleList.header.editingProfile,Profile Editing,Edição de Perfil,Edición de perfil
SafeConfirm.header.warning,Confirmation,Confirmação,Confirmación de seguridad
