dsmsgkey,dsenus,dsptbr,dseses
IncotermRuleForm.label.tpModality,Modalities,Modalidades,Modalidades
IncotermRuleForm.type.tpModality,Modalities,Modalidades,Modalidades
EditIncoterm.label.cdIncoterm,Code,Código,Código
IncotermChargeForm.label.tpModality,Modalities,Modalidades,Modalidades
ProcessForm.placeholder.nbFreeTimeDemurrageCarrier,Demurrage,Demurrage,Demurrage (en español: demora)
ShippingInstructionsForm.label.chargeDemurrage,Demurrage,Demurrage,Demurrage (no translation available as it is a technical term used in international trade)
InviteForm.label.nmPerson,Name,Nome,Nombre
PortForm.label.nmPort,Name,Nome,Nombre
PortForm.label.cdPort,Code,Código,Código
PortForm.placeholder.cdAirport,Code,Código,Código
Placeholder.cdCurrency,Currency,Moeda,Moneda
SalesChargeForm.placeholder.tpBuyOrSell,Select,Selecione,Seleccionar
SalesChargeForm.placeholder.tpCalculation,Select,Selecione,Seleccionar
SalesChargeForm.placeholder.tpChargeLocal,Select,Selecione,Seleccionar
ProcessChargeForm.placeholder.tpChargeLocal,Select,Selecione,Seleccionar
ProcessChargeManager.button.addProcessCharge,Add Charge,Adicionar Taxa,Agregar cargo
ProcessChargeManager.header.addProcessCharge,Add Charge,Adicionar Taxa,Agregar cargo
ProcessVolumeForm.label.nbFreeTimeDetention,Detention,Detention,Traducción: Detención
ProcessVolumeForm.label.nbFreeTimeDetentionCarrier,Detention,Detention,Traducción: Detención
ProcessChargeForm.placeholder.tpAgentCarrier,Select,Selecione,Seleccionar
InvoiceParcelForm.placeholder.stParcel,Select,Selecione,Seleccionar
InstructionForm.label.tpInstruction,Type,Tipo,Tipo
InstructionForm.itemLabel.tpInstruction,Type,Tipo,Tipo
PortForm.placeholder.cdPort,Code,Código,Código
ProcessForm.label.nbFreeTimeDetentionCarrier,Detention,Detention,"Traducción:
Detención"
ProcessForm.placeholder.nbFreeTimeDetentionCarrier,Detention,Detention,"Traducción:
Detención"
ProcessForm.label.nbFreeTimeDetention,Detention,Detention,Traducción: Detención
ProcessForm.placeholder.nbFreeTimeDetention,Detention,Detention,Traducción: Detención
ProcessForm.placeholder.tpPPCC,Select,Selecione,Seleccionar
ProcessForm.label.cdCurProfitShare,Currency,Moeda,Moneda
Caption.nmDest,Destination,Destino,Destino
SmartTutorial.checkIdPort,You can select one or more types,Pode selecionar um ou mais tipos,Puedes seleccionar uno o más tipos
SmartTutorial.actionsAgentModality,You can select one or more types,Pode selecionar um ou mais tipos,Puedes seleccionar uno o más tipos
SmartTutorial.actionsTpCompany,You can select one or more types,Pode selecionar um ou mais tipos,Puedes seleccionar uno o más tipos
SmartTutorial.actionsCheckModality,You can select one or more types,Pode selecionar um ou mais tipos,Puedes seleccionar uno o más tipos
ChooseCompanyComponent.header.chooseCompany,Company,Empresa,Compañía
OfficeFormGroupComponent.label.company,Company,Empresa,Compañía
Caption.cdDest,Destination,Destino,Destino
SmartTutorial.actionsCdFreightType,You can select one or more types,Pode selecionar um ou mais tipos,Puedes seleccionar uno o más tipos
Users.header.users,Users,Usuários,Usuarios
CompanyFormGroupComponent.label.country,Country,País,País
AddCompanyComponent.header.addCompany,Add Company,Adicionar Empresa,Añadir Compañía
Breadcrumb.profiles,Profiles,Perfis,Perfiles
Profiles.header.profiles,Profiles,Perfis,Perfiles
Label.sucess,Charge successfully added,Taxa adicionada com sucesso,Carga añadida exitosamente
VesselFormGroupComponent.search,Search,Pesquisar,Buscar
Caption.obCourier,Courier,Courier,Mensajero
DeletePricingVolume.alert.success,Volume successfully deleted,Volume removido com sucesso,Volumen eliminado exitosamente
Caption.cdQuotation,Quotation,Cotação,Cotización
Caption.obPhones,Phone,Telefone,Teléfono
Placeholder.servicesAmount,Type the total value,Digite o valor total,Escribe el valor total
BillingPlanComponent.header.choosePaymentMethod,Choose the payment method,Escolha o método de pagamento,Elige el método de pago
Drivers.header.addDriver,Add Driver,Adicionar Motorista,Agregar conductor
DialectList.header.translations,Translations,Traduções,Traducciones
Vehicles.header.addVehicle,Add Vehicle,Adicionar Veículo,Agregar vehículo
SmartPopover.config.nbFreeTimeDetentionVolume,"Only fill in if the freetime is different from the process. <br /><b>Example:</b> If the process has 5 CNTR 20 dry, and 1 CNTR 40 NOR, the free time of 40 NOR is different from the others, so it can be configured here.","Preencher somente se o free time for diferente do processo.<br /><b>Exemplo:</b> caso o processo tenha 5 CNTR 20 dry, e 1 CNTR 40 NOR, o free time do 40 NOR é diferente dos outros, sendo assim podendo ser configurado aqui.","Solo completar si el tiempo libre es diferente al proceso. <br /><b>Ejemplo:</b> Si el proceso tiene 5 CNTR 20 secos y 1 CNTR 40 NOR, el tiempo libre de 40 NOR es diferente a los demás, por lo que se puede configurar aquí."
Airports.button.addAirport,Add Airport,Adicionar Aeroporto,Añadir aeropuerto
NavRoute.title.tracking.management,Tracking Management,Gerenciamento de Tracking,Gestión de seguimiento
Label.financial-invoices-total,Invoice List,Lista de Invoices,Lista de facturas
Label.nmAgentPayProc,Remittance Agent (Edited),Agente Remessa (Editado),Agente de Remesas (Editado)
EditQuotation.button.documentGen,View document,Gerar Documento,Ver documento
Label.trackingEmailDefaultSend,"By default, sending is done using the system email.","Por padrão, o envio é feito utilizando o email do sistema.","Por defecto, el envío se realiza utilizando el correo electrónico del sistema."
 a credit for the master and a credit for each house.,"Two credits will be charged by direct process. And in the consolidated processes, a credit for the master and a credit for each house.", a credit for the master and a credit for each house.,"Se cargarán dos créditos por proceso directo. Y en los procesos consolidados, un crédito para el maestro y un crédito por cada casa."
